"DISTRICTCODE","Nama Kabupaten","latitude","longitude"
"1507","KABUPATEN TANJUNG JABUNG BARAT","-1.2332121999999999","103.79844279999999"
"1508","KABUPATEN TEBO","-1.2592999","102.3463875"
"1509","KABUPATEN BUNGO","-1.6401337999999999","101.8891721"
"1571","KOTA JAMBI","-1.5966719999999999","103.615799"
"1572","KOTA SUNGAI PENUH","-2.06314","101.387199"
"1601","KABUPATEN OGAN KOMERING ULU","-4.0283486","104.0072348"
"1602","KABUPATEN OGAN KOMERING ILIR","-3.4559743999999997","105.2194808"
"1603","KABUPATEN MUARA ENIM","-3.6515809999999997","103.770798"
"1604","KABUPATEN LAHAT","-3.7863888999999995","103.5427778"
"1605","KABUPATEN MUSI RAWAS","-2.8625305","102.989615"
"1606","KABUPATEN MUSI BANYUASIN","-2.5442028999999997","103.7289167"
"1607","KABUPATEN BANYU ASIN","-2.6095639","104.7520939"
"1608","KABUPATEN OGAN KOMERING ULU SELATAN","-4.668195099999999","104.0072348"
"1609","KABUPATEN OGAN KOMERING ULU TIMUR","-3.8567934","104.7520939"
"1610","KABUPATEN OGAN ILIR","-3.4265440000000003","104.61214749999999"
"1611","KABUPATEN EMPAT LAWANG","-3.7286029000000003","102.8975098"
"1612","KABUPATEN PENUKAL ABAB LEMATANG ILIR","-3.2398","104.0072"
"1613","KABUPATEN MUSI RAWAS UTARA","-2.7878","102.7135"
"1671","KOTA PALEMBANG","-2.9911083","104.7567333"
"1672","KOTA PRABUMULIH","-3.440956","104.23539699999999"
"1673","KOTA PAGAR ALAM","-4.037669999999999","103.265297"
"1674","KOTA LUBUKLINGGAU","-3.2966667000000003","102.8616667"
"1701","KABUPATEN BENGKULU SELATAN","-4.324840900000001","103.03569399999999"
"1702","KABUPATEN REJANG LEBONG","-3.4548154","102.6675575"
"1703","KABUPATEN BENGKULU UTARA","-3.4219555","102.1632718"
"1704","KABUPATEN KAUR","-4.6792278","103.4511768"
"1705","KABUPATEN SELUMA","-4.062292899999999","102.5642261"
"1706","KABUPATEN MUKOMUKO","-2.5760002999999996","101.11698050000001"
"1707","KABUPATEN LEBONG","-3.4548154","102.6675575"
"1708","KABUPATEN KEPAHIANG","-3.6514309999999996","102.578201"
"1709","KABUPATEN BENGKULU TENGAH","-3.7955556000000006","102.25916670000001"
"1771","KOTA BENGKULU","-4.324840900000001","103.03569399999999"
"1801","KABUPATEN LAMPUNG BARAT","-5.149039599999999","104.19309179999999"
"1802","KABUPATEN TANGGAMUS","-5.3027489","104.5655273"
"1803","KABUPATEN LAMPUNG SELATAN","-5.562261400000001","105.54743729999998"
"1804","KABUPATEN LAMPUNG TIMUR","-5.1134995000000005","105.68817879999999"
"1805","KABUPATEN LAMPUNG TENGAH","-4.8008086","105.3131185"
"1806","KABUPATEN LAMPUNG UTARA","-4.8133905","104.7520939"
"1807","KABUPATEN WAY KANAN","-4.4963689","104.5655273"
"1808","KABUPATEN TULANGBAWANG","-4.3176575999999995","105.5005483"
"1809","KABUPATEN PESAWARAN","-5.493245","105.0791228"
"1810","KABUPATEN PRINGSEWU","-5.3539884","104.9622498"
"1811","KABUPATEN MESUJI","-4.0044783","105.3131185"
"1812","KABUPATEN TULANG BAWANG BARAT","-4.5257","105.0791"
"1813","KABUPATEN PESISIR BARAT","-5.2928","104.1234"
"1871","KOTA BANDAR LAMPUNG","-5.45","105.26666670000002"
"1872","KOTA METRO","-5.116666700000001","105.3"
"1901","KABUPATEN BANGKA","-7.0306912","112.7450068"
"1902","KABUPATEN BELITUNG","-2.8708937999999997","107.95318359999999"
"1903","KABUPATEN BANGKA BARAT","-2.2884782","106.0640179"
"1904","KABUPATEN BANGKA TENGAH","-2.2884782","106.0640179"
"1905","KABUPATEN BANGKA SELATAN","-2.2884782","106.0640179"
"1906","KABUPATEN BELITUNG TIMUR","-2.8708937999999997","107.95318359999999"
"1971","KOTA PANGKAL PINANG","-2.129323","106.109596"
"2101","KABUPATEN KARIMUN","1.05","103.3666667"
"2102","KABUPATEN BINTAN","1.0619173000000002","104.51892140000001"
"2103","KABUPATEN NATUNA","3.9329945","108.1812242"
"2104","KABUPATEN LINGGA","-3.2966667000000003","102.8616667"
"2105","KABUPATEN KEPULAUAN ANAMBAS","3.1055","105.6537"
"2171","KOTA B A T A M","1.14937000","104.02491000"
"2172","KOTA TANJUNG PINANG","0.9179205","104.446464"
"3101","KABUPATEN KEPULAUAN SERIBU","-5.7985266","106.5071982"
"3171","KOTA JAKARTA SELATAN","-6.332973","106.807915"
"3172","KOTA JAKARTA TIMUR","-6.211544","106.84517199999999"
"3173","KOTA JAKARTA PUSAT","-6.211544","106.84517199999999"
"3174","KOTA JAKARTA BARAT","-6.211544","106.84517199999999"
"3175","KOTA JAKARTA UTARA","-6.211544","106.84517199999999"
"3201","KABUPATEN BOGOR","-6.6","106.8"
"3202","KABUPATEN SUKABUMI","-6.92405","106.922203"
"3203","KABUPATEN CIANJUR","-6.8172531","107.13072890000001"
"3204","KABUPATEN BANDUNG","-6.9147444","107.6098111"
"3205","KABUPATEN GARUT","-7.227906","107.908699"
"3206","KABUPATEN TASIKMALAYA","-7.327953999999999","108.214104"
"3207","KABUPATEN CIAMIS","-7.3333333","108.35"
